CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
240	lipid	Fatty acid 18:0*	Bacillus anthracis	417	GC
241	lipid	Fatty acid 20:0	Bacillus anthracis	417	GC
242	lipid	Fatty acid 22:0	Bacillus anthracis	417	GC
243	lipid	Fatty acid 20:3(cis-8,11,14)	Bacillus anthracis	417	GC
244	lipid	Fatty acid 23:0	Bacillus anthracis	417	GC
245	lipid	Phosphatidylinositolphosphate; C=44; DB=9	Homo sapiens	450	Mass spectrometry
246	lipid	Lysophosphatidylethanolamine(20:4/0:0)	Homo sapiens	450	Mass spectrometry
247	lipid	Lysophosphatidylethanolamine(20:5/0:0)	Homo sapiens	450	Mass spectrometry
248	lipid	Lysophosphatidylethanolamine(18:2/0:0)	Homo sapiens	450	Mass spectrometry
249	lipid	Diacylglycerol; C= 38; DB= 5/6	Homo sapiens	450	Mass spectrometry
250	lipid	Phosphatidylethanolamine; C=38; DB=5 / PC; C=35; DB=5	Homo sapiens	450	Mass spectrometry
251	lipid	Phosphatidylcholine; C=36; DB= 1 / PE; C=39; DB=1	Homo sapiens	450	Mass spectrometry
252	lipid	Sphingolipid	Homo sapiens	450	Mass spectrometry
253	lipid	Phosphatidic acid; C=27; DB=2	Homo sapiens	450	Mass spectrometry
254	lipid	Phosphatidic acid; C=30; DB=0	Homo sapiens	450	Mass spectrometry
255	lipid	Phosphatidylcholine; C=38; DB=6 / PE; C=41;DB=6	Homo sapiens	450	Mass spectrometry
256	lipid	Lysophosphatidylethanolamine; C=20; DB=2 / LysoPC; C=17; DB=2	Homo sapiens	450	Mass spectrometry
257	lipid	Lysophosphatidylglycerol(10:0/0:0)	Homo sapiens	450	Mass spectrometry
258	lipid	Lysophosphatidylinositol(20:4/0:0)	Homo sapiens	450	Mass spectrometry
259	lipid	Dihydroxyacetone phosphate (18:0)	Homo sapiens	450	Mass spectrometry
260	lipid	20-Carboxyleukotriene B4	Homo sapiens	450	Mass spectrometry
261	lipid	Lysophosphatidylethanolamine(18:3/0:0)	Homo sapiens	450	Mass spectrometry
262	lipid	Phosphatidylinositolphosphate; C=36; DB=1	Homo sapiens	450	Mass spectrometry
263	lipid	Ceramide (d18:1/9Z-18:1)	Homo sapiens	450	Mass spectrometry
264	lipid	Eicosenoic acid	Homo sapiens	450	Mass spectrometry
265	lipid	2-Phenylaminoadenosine	Homo sapiens	450	Mass spectrometry
266	lipid	Lysophosphatidic acid(14:1(9Z)/0:0)	Homo sapiens	450	Mass spectrometry
267	lipid	Lysophosphatidic acid(14:0/0:0)	Homo sapiens	450	Mass spectrometry
268	lipid	Lysophosphatidylserine(15:0/0:0)	Homo sapiens	450	Mass spectrometry
269	lipid	Lysophosphatidylserine(P-20:0/0:0)	Homo sapiens	450	Mass spectrometry
270	lipid	GlcAbeta-Cer(d18:1/18:0)	Homo sapiens	450	Mass spectrometry
271	lipid	Ganglioside GD3 (d18:1/23:0)	Homo sapiens	450	Mass spectrometry
272	lipid	Ganglioside GT1b (d18:1/12:0) Ganglioside GT1c (d18:1/12:0)	Homo sapiens	450	Mass spectrometry
273	lipid	Phosphatidic acid; C=28	Homo sapiens	450	Mass spectrometry
274	lipid	Phosphatidic acid (P-16:0/20:5)	Homo sapiens	450	Mass spectrometry
275	lipid	Phosphatidylethanolamine; C=32; DB=2	Homo sapiens	450	Mass spectrometry
276	lipid	Phosphatidylglycerol; C=35; DB= 4	Homo sapiens	450	Mass spectrometry
277	lipid	Phosphatidylcholine; C=46; DB=5	Homo sapiens	450	Mass spectrometry
278	lipid	Triglyceride; C=59; DB=12	Homo sapiens	450	Mass spectrometry
279	lipid	Phosphatidylinositolphosphate; C=44; DB=9	Homo sapiens	451	Mass spectrometry
280	lipid	Lysophosphatidylethanolamine(20:4/0:0)	Homo sapiens	451	Mass spectrometry
281	lipid	Lysophosphatidylethanolamine(20:5/0:0)	Homo sapiens	451	Mass spectrometry
282	lipid	Lysophosphatidylethanolamine(18:2/0:0)	Homo sapiens	451	Mass spectrometry
283	lipid	Diacylglycerol; C= 38; DB= 5/6	Homo sapiens	451	Mass spectrometry
284	lipid	Phosphatidylethanolamine; C=38; DB=5 / PC; C=35; DB=5	Homo sapiens	451	Mass spectrometry
285	lipid	Phosphatidylcholine; C=36; DB= 1 / PE; C=39; DB=1	Homo sapiens	451	Mass spectrometry
286	lipid	Sphingolipid	Homo sapiens	451	Mass spectrometry
287	lipid	Phosphatidic acid; C=27; DB=2	Homo sapiens	451	Mass spectrometry
288	lipid	Phosphatidic acid; C=30; DB=0	Homo sapiens	451	Mass spectrometry
289	lipid	Phosphatidylcholine; C=38; DB=6 / PE; C=41;DB=6	Homo sapiens	451	Mass spectrometry
290	lipid	Lysophosphatidylethanolamine; C=20; DB=2 / LysoPC; C=17; DB=2	Homo sapiens	451	Mass spectrometry
